ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C12400419001,2,70,True,True,1,2,C12400116004,C12400112023,C12400125006,C12400419002,C12400112023,0,210992.8403,549097.0188,210871.649649,549144.451639
C12400419002,2,70,True,True,0,0,C12400419001,0,0,C12400419003,0,0,210871.649649,549144.451639,210750.458998,549191.884479
C12400419003,2,70,True,True,0,0,C12400419002,0,0,C12400419004,0,0,210750.458998,549191.884479,210629.268347,549239.317318
C12400419004,2,70,True,True,0,0,C12400419003,0,0,C12400419005,0,0,210629.268347,549239.317318,210508.077696,549286.750158
C12400419005,2,70,True,True,0,0,C12400419004,0,0,C12400419006,0,0,210508.077696,549286.750158,210386.887045,549334.182997
C12400419006,2,70,True,True,0,0,C12400419005,0,0,C12400419007,0,0,210386.887045,549334.182997,210265.696394,549381.615837
C12400419007,2,70,True,True,0,0,C12400419006,0,0,C12400419008,0,0,210265.696394,549381.615837,210144.505744,549429.048676
C12400419008,2,70,True,True,0,0,C12400419007,0,0,0,0,0,210144.505744,549429.048676,209903.5168,549523.3694
C12400110021,3,70,True,True,4,2,C124000840217,C12400008027,C12400407008,C12400110022,C12400008027,0,213473.511,548751.778,213496.046832,548818.040184
C12400110022,3,70,True,True,0,0,C12400110021,0,0,C12400110023,0,0,213496.046832,548818.040184,213518.582665,548884.302369
C12400110023,3,70,True,True,2,1,C12400110022,0,0,C12400124001,0,0,213518.582665,548884.302369,213553.2157,548986.134
C12400123001,3,70,True,True,2,2,C12400153004,0,C12400145004,C12400123002,0,0,213776.0885,549648.4899,213752.650231,549582.598774
C12400123002,3,70,True,True,0,0,C12400123001,0,0,C12400123003,0,0,213752.650231,549582.598774,213729.211962,549516.707647
C12400123003,3,70,True,True,0,0,C12400123002,0,0,C12400123004,0,0,213729.211962,549516.707647,213705.773692,549450.816521
C12400123004,3,70,True,True,0,0,C12400123003,0,0,C12400123005,0,0,213705.773692,549450.816521,213682.335423,549384.925395
C12400123005,3,70,True,True,0,0,C12400123004,0,0,C12400123006,0,0,213682.335423,549384.925395,213658.897154,549319.034269
C12400123006,3,70,True,True,0,0,C12400123005,0,0,C12400123007,0,0,213658.897154,549319.034269,213635.458885,549253.143142
C12400123007,3,70,True,True,0,0,C12400123006,0,0,C12400123008,0,0,213635.458885,549253.143142,213612.020616,549187.252016
C12400123008,3,70,True,True,0,0,C12400123007,0,0,C12400123009,0,0,213612.020616,549187.252016,213588.582347,549121.36089
C12400123009,3,70,True,True,3,1,C12400123008,0,0,C12400109021,0,C12400114021,213588.582347,549121.36089,213541.8786,548990.0644
C12400124001,3,70,True,True,3,2,C12400110023,C12400113027,0,C12400124002,C12400113027,0,213553.2628,548986.2696,213576.698892,549052.161368
C12400124002,3,70,True,True,0,0,C12400124001,0,0,C12400124003,0,0,213576.698892,549052.161368,213600.134983,549118.053136
C12400124003,3,70,True,True,0,0,C12400124002,0,0,C12400124004,0,0,213600.134983,549118.053136,213623.571075,549183.944904
C12400124004,3,70,True,True,0,0,C12400124003,0,0,C12400124005,0,0,213623.571075,549183.944904,213647.007166,549249.836672
C12400124005,3,70,True,True,0,0,C12400124004,0,0,C12400124006,0,0,213647.007166,549249.836672,213670.443258,549315.728441
C12400124006,3,70,True,True,0,0,C12400124005,0,0,C12400124007,0,0,213670.443258,549315.728441,213693.879349,549381.620209
C12400124007,3,70,True,True,0,0,C12400124006,0,0,C12400124008,0,0,213693.879349,549381.620209,213717.315441,549447.511977
