LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,MAX_SPD,x0,y0,x1,y1,Length,NumCell,CellLen
1240000402,1240013600,1240013900,0,5,60,212250.129,548287.364,212065.4494,548357.2141,197.4473312,3,70
1240000302,1240013900,1240013600,0,5,60,212061.2043,548345.9901,212245.8838,548276.14,197.4472379,3,70
1240038300,1240013900,1240015100,0,1,60,212069.0598,548349.832,212115.6265,548500.6448,157.8381083,3,70
1240038400,1240015100,1240013900,0,1,60,212104.1607,548504.1851,212057.5939,548353.3723,157.8381384,3,70
1240028900,1240015100,1240015600,0,1,60,212115.6484,548500.7171,212165.9193,548671.1091,177.6527018,3,70
1240038800,1240015600,1240015100,0,1,60,212154.4098,548674.5048,212104.1388,548504.1128,177.6527307,3,70
1240009502,1240015300,1240015100,0,1,30,211932.3952,548592.3978,212107.0205,548497.1476,198.9131837,3,70
1240009602,1240015100,1240015300,0,1,30,212112.7667,548507.6823,211938.1414,548602.9325,198.9131834,3,70
1240009501,1240015100,1240014400,0,1,30,212106.837,548497.2519,212279.3456,548395.1225,200.4731496,3,70
1240009601,1240014400,1240015100,0,1,30,212285.4589,548405.4486,212112.9503,548507.578,200.4731493,3,70
1240010202,1240013600,1240014400,0,4,60,212253.7687,548280.0799,212288.1646,548398.6135,123.4229953,3,70
1240010102,1240014400,1240013600,0,5,60,212276.64,548401.9577,212242.2441,548283.4241,123.4229957,3,70
1240010203,1240014400,1240015500,0,3,60,212288.1504,548398.5653,212353.238,548616.0533,227.0181338,3,70
1240010103,1240015500,1240014400,0,3,60,212341.7418,548619.4937,212276.6542,548402.0058,227.0180388,3,70
1240039000,1240015500,1240015600,0,1,60,212349.1812,548623.5302,212161.8558,548678.5637,195.2417731,3,70
1240038900,1240015600,1240015500,0,1,60,212158.4733,548667.0502,212345.7987,548612.0168,195.2417451,3,70
1240010204,1240015500,1240017300,0,3,60,212353.2343,548616.0409,212487.9104,549062.5615,466.3876837,3,70
1240010104,1240017300,1240015500,0,3,60,212476.4216,549066.0266,212341.7455,548619.5061,466.3875896,3,70
1240039200,1240015600,1240016000,0,1,30,212161.8744,548678.5582,211985.6615,548730.9458,183.835048,3,70
1240039100,1240016000,1240015600,0,1,30,211982.2419,548719.4433,212158.4547,548667.0557,183.8349523,3,70
1240040400,1240015600,1240017400,0,1,60,212165.9196,548671.1101,212284.85,549074.4682,420.5253212,3,70
1240040500,1240017400,1240015600,0,1,60,212273.3399,549077.8619,212154.4095,548674.5038,420.5253226,3,70
1240012003,1240017400,1240017300,0,2,40,212278.7448,549070.1753,212481.8158,549058.3043,203.4172921,3,70
1240011903,1240017300,1240017400,0,2,40,212482.5161,549070.2838,212279.4451,549082.1548,203.4172921,3,70
1240018902,1240021800,1240021400,0,2,30,210948.4706,550242.5931,211265.2901,550071.9348,359.859162,3,70
1240019002,1240021400,1240021800,0,1,30,211270.961,550082.5102,210954.1684,550253.1541,359.8593442,3,70
1240013900,1240004200,1240004000,0,1,40,210773.5681,549616.5937,211122.5872,549552.9999,354.7648937,3,70
1240014000,1240004000,1240004200,0,1,40,211124.7383,549564.8055,210775.7191,549628.3994,354.7650098,3,70
1240013202,1240018100,1240018400,0,2,50,211725.4105,549456.193,211368.7912,549519.5663,362.2058353,3,70
1240013102,1240018400,1240018100,0,2,50,211366.6916,549507.7514,211723.311,549444.3781,362.2059339,3,70
1240013201,1240018400,1240004000,0,2,50,211368.835,549519.5584,211124.7563,549564.8022,248.2362185,3,70
1240013101,1240004000,1240018400,0,2,50,211122.5692,549553.0032,211366.6478,549507.7594,248.2361203,3,70
1240044200,1240018400,1240020300,0,1,30,211373.6725,549514.5656,211330.413,549797.538,286.2595037,3,70
1240044100,1240020300,1240018400,0,1,30,211318.5508,549795.7246,211361.8103,549512.7522,286.2595046,3,70
1240016900,1240005300,1240004800,0,2,60,211262.338,550078.8051,211194.0754,549829.1702,258.7994549,3,70
1240017000,1240004800,1240005300,0,2,60,211205.6504,549826.005,211273.9131,550075.6399,258.7994804,3,70
1240015100,1240004800,1240004000,0,2,60,211194.0906,549829.2247,211117.8904,549560.5398,279.2808744,3,70
1240015200,1240004000,1240004800,0,2,60,211129.4351,549557.2657,211205.6353,549825.9506,279.2808735,3,70
1240017600,1240020800,1240005300,0,1,40,211459.8804,549980.9066,211270.9675,550082.5068,214.5006699,3,70
1240017500,1240005300,1240020800,0,1,40,211265.2836,550071.9383,211454.1965,549970.338,214.5007176,3,70
1240018500,1240005700,1240005300,0,2,60,211304.6336,550223.5883,211262.3663,550078.905,150.7305897,3,70
